Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-19,6.1,13,28160,369,488,39,8,1.2,665|684|2268|2537|2635|3433|3434|3437|3665|3669|4599|4600|4938|4940|6351|6352|6375|8519|9636|10077|10346|10561|10875|10964|11035|23586|30009|51191|51251|55337|64108|64135|79132|79594|81030|85363|91543|255520|100507436,BNIP3L|BST2|FGR|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|CCL4|CCL5|XCL1|IFITM1|ISG15|TSPAN32|TRIM22|IFI44|FGL2|IFI44L|RIPK3|DDX58|TBX21|HERC5|NT5C3A|SHFL|RTP4|IFIH1|DHX58|MUL1|ZBP1|TRIM5|RSAD2|ELMOD2|MICA,-14,MyList
GO Biological Processes,19,GO:0051607,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-18,7.1,13,28160,267,488,33,6.8,1.1,665|684|2537|2635|3433|3434|3437|3665|3669|4599|4600|4938|4940|8519|9636|10077|10346|10875|10964|11035|23586|51191|51251|55337|64108|64135|79132|79594|81030|85363|91543|255520|100507436,BNIP3L|BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|TSPAN32|TRIM22|FGL2|IFI44L|RIPK3|DDX58|HERC5|NT5C3A|SHFL|RTP4|IFIH1|DHX58|MUL1|ZBP1|TRIM5|RSAD2|ELMOD2|MICA,-14,MyList
GO Biological Processes,19,GO:0140546,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-18,7.1,13,28160,267,488,33,6.8,1.1,665|684|2537|2635|3433|3434|3437|3665|3669|4599|4600|4938|4940|8519|9636|10077|10346|10875|10964|11035|23586|51191|51251|55337|64108|64135|79132|79594|81030|85363|91543|255520|100507436,BNIP3L|BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|TSPAN32|TRIM22|FGL2|IFI44L|RIPK3|DDX58|HERC5|NT5C3A|SHFL|RTP4|IFIH1|DHX58|MUL1|ZBP1|TRIM5|RSAD2|ELMOD2|MICA,-14,MyList
GO Biological Processes,19,GO:0002831,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-17,6.2,13,28160,327,488,35,7.2,1.2,2|1535|2268|3133|3430|3434|3665|3822|3824|4938|4940|6352|7294|7305|8767|9437|9636|10077|10875|11126|11274|23586|51191|56253|56339|79132|79594|81030|85363|117157|149628|255520|259197|100507436|100528032,A2M|CYBA|FGR|HLA-E|IFI35|IFIT1|IRF7|KLRC2|KLRD1|OAS1|OAS3|CCL5|TXK|TYROBP|RIPK2|NCR1|ISG15|TSPAN32|FGL2|CD160|USP18|DDX58|HERC5|CRTAM|METTL3|DHX58|MUL1|ZBP1|TRIM5|SH2D1B|PYHIN1|ELMOD2|NCR3|MICA|KLRC4-KLRK1,-13,MyList
Reactome Gene Sets,6,R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,-15,9.6,13,28160,132,488,22,4.5,0.94,567|3133|3384|3804|3811|3812|3820|3824|7305|8519|9437|10219|11126|11314|29990|51348|56253|117157|120425|259197|100507436|100528032,B2M|HLA-E|ICAM2|KIR2DL3|KIR3DL1|KIR3DL2|KLRB1|KLRD1|TYROBP|IFITM1|NCR1|KLRG1|CD160|CD300A|PILRB|KLRF1|CRTAM|SH2D1B|JAML|NCR3|MICA|KLRC4-KLRK1,-11,MyList
GO Biological Processes,19,GO:0045088,regulation of innate immune response,19_GO:0044419 biological process involved in interspecies interaction between organisms,-15,7.1,12,28160,218,488,27,5.5,1,2|2268|3133|3430|3665|3822|3824|4938|4940|6352|7294|7305|9437|9636|11126|11274|56253|56339|79132|79594|81030|85363|117157|149628|259197|100507436|100528032,A2M|FGR|HLA-E|IFI35|IRF7|KLRC2|KLRD1|OAS1|OAS3|CCL5|TXK|TYROBP|NCR1|ISG15|CD160|USP18|CRTAM|METTL3|DHX58|MUL1|ZBP1|TRIM5|SH2D1B|PYHIN1|NCR3|MICA|KLRC4-KLRK1,-11,MyList
Reactome Gene Sets,6,R-HSA-909733,Interferon alpha/beta signaling,,-15,14,14,28160,70,488,17,3.5,0.83,684|2537|3133|3430|3433|3434|3437|3665|3669|4599|4600|4938|4940|8519|9636|11274|91543,BST2|IFI6|HLA-E|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|USP18|RSAD2,-11,MyList
GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-13,3.9,9.7,28160,625,488,42,8.6,1.3,2|241|1535|2268|3133|3430|3434|3603|3665|3822|3824|4814|4938|4940|6352|6375|7132|7294|7305|7538|8530|8767|9437|9636|10077|10875|11126|11274|23586|51191|56253|56339|79132|79594|81030|85363|117157|149628|255520|259197|100507436|100528032,A2M|ALOX5AP|CYBA|FGR|HLA-E|IFI35|IFIT1|IL16|IRF7|KLRC2|KLRD1|NINJ1|OAS1|OAS3|CCL5|XCL1|TNFRSF1A|TXK|TYROBP|ZFP36|CST7|RIPK2|NCR1|ISG15|TSPAN32|FGL2|CD160|USP18|DDX58|HERC5|CRTAM|METTL3|DHX58|MUL1|ZBP1|TRIM5|SH2D1B|PYHIN1|ELMOD2|NCR3|MICA|KLRC4-KLRK1,-9.6,MyList
Reactome Gene Sets,6,R-HSA-913531,Interferon Signaling,,-13,7,11,28160,199,488,24,4.9,0.98,567|684|2537|2635|3133|3430|3433|3434|3437|3665|3669|4599|4600|4938|4940|8519|9636|10346|10475|11274|23586|51191|85363|91543,B2M|BST2|IFI6|GBP3|HLA-E|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|MX1|MX2|OAS1|OAS3|IFITM1|ISG15|TRIM22|TRIM38|USP18|DDX58|HERC5|TRIM5|RSAD2,-9.6,MyList
GO Biological Processes,19,GO:0002250,adaptive immune response,19_GO:0002376 immune system process,-12,3.5,9,28160,730,488,44,9,1.3,567|927|2207|3133|3493|3494|3512|3665|3822|3824|4063|5590|6375|6978|6982|6984|7294|7462|8284|8764|8767|11035|11126|28646|28657|28662|28663|28664|28667|28669|28682|28683|28684|28689|28692|28693|30009|56253|64167|91543|117157|257101|100507436|100528032,B2M|CD8B2|FCER1G|HLA-E|IGHA1|IGHA2|JCHAIN|IRF7|KLRC2|KLRD1|LY9|PRKCZ|XCL1|TRGV5|TRGV8|TRGV10|TXK|LAT2|KDM5D|TNFRSF14|RIPK2|RIPK3|CD160|TRAV36DV7|TRAV26-1|TRAV21|TRAV20|TRAV19|TRAV16|TRAV14DV4|TRAV8-4|TRAV8-3|TRAV8-2|TRAV4|TRAV1-2|TRAV1-1|TBX21|CRTAM|ERAP2|RSAD2|SH2D1B|ZNF683|MICA|KLRC4-KLRK1,-8.7,MyList
