_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.3,R-HSA-8953854,Metabolism of RNA,M1,1,0
1,-3.2,CORUM:6469,Set1A complex,M1,1,0
1,-2.5,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",M1,1,0
1,-2.4,hsa05223,Non-small cell lung cancer ,M1,1,0
1,-2.5,GO:0032204,regulation of telomere maintenance,M1,1,0
1,-3.9,GO:0072001,renal system development,M1,1,0
1,-7.7,GO:0046631,alpha-beta T cell activation,M1,1,0
1,-4.6,GO:0043488,regulation of mRNA stability,M1,1,0
1,-2.6,R-HSA-6781823,Formation of TC-NER Pre-Incision Complex,M1,1,0
1,-2.5,hsa05169,Epstein-Barr virus infection,M1,1,0
1,-2.3,WP61,Notch signaling pathway (Netpath),M1,1,0
1,-2.2,GO:0006304,DNA modification,M1,1,0
1,-2.8,M252,PID IL8 CXCR1 PATHWAY,M1,1,0
1,-2.2,GO:0031503,protein-containing complex localization,M1,1,0
1,-3,GO:2000316,regulation of T-helper 17 type immune response,M1,1,0
1,-7.8,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-5.3,GO:0000819,sister chromatid segregation,M1,1,0
1,-6.8,ko04120,Ubiquitin mediated proteolysis,M1,1,0
1,-3.2,CORUM:6460,MLL2 complex,M1,1,0
1,-3.2,M161,PID IFNG PATHWAY,M1,1,0
1,-3.1,R-HSA-8953897,Cellular responses to stimuli,M1,1,0
1,-2.9,WP1403,AMP-activated protein kinase (AMPK) signaling,M1,1,0
1,-2.9,WP3932,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,M1,1,0
1,-2.7,R-HSA-6804758,Regulation of TP53 Activity through Acetylation,M1,1,0
1,-3.8,R-HSA-2559584,Formation of Senescence-Associated Heterochromatin Foci (SAHF),M1,1,0
1,-3.1,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,M1,1,0
1,-4.7,WP3651,Pathways affected in adenoid cystic carcinoma,M1,1,0
1,-4.5,GO:0022613,ribonucleoprotein complex biogenesis,M1,1,0
1,-5,GO:0072539,T-helper 17 cell differentiation,M1,1,0
1,-4.8,GO:0045785,positive regulation of cell adhesion,M1,1,0
1,-3.2,R-HSA-9664422,FCGR3A-mediated phagocytosis,M1,1,0
1,-2.6,GO:0019079,viral genome replication,M1,1,0
