_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-52.24591269333887,R-HSA-1640170,M1,1,0,Reactome Gene Sets,6,Cell Cycle,,-52.24591269333887,7.487630057803468,23.23234954603878,28160,692,500,92,18.4,1.7328819925199752,332|641|672|675|890|891|983|991|1021|1062|1063|1719|1859|1871|2033|2237|3012|3014|3017|3978|4001|4171|4172|4173|4174|4175|4176|4928|4999|5111|5116|5347|5424|5932|6241|7027|7083|7153|7280|7283|7298|7468|7533|8338|8358|8364|8697|9088|9126|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|22974|23133|23141|23198|23225|23332|23345|23511|23649|25777|26271|29781|51053|51512|51659|54892|55055|55135|55143|55839|55920|63967|79019|79682|80169|81620|84790|151246|200014|203068|387103,BIRC5|BLM|BRCA1|BRCA2|CCNA2|CCNB1|CDK1|CDC20|CDK6|CENPE|CENPF|DHFR|DYRK1A|E2F3|EP300|FEN1|H2AC8|H2AX|H2BC5|LIG1|LMNB1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|NUP98|ORC2|PCNA|PCNT|PLK1|POLD1|RBBP8|RRM2|TFDP1|TK1|TOP2A|TUBB2A|TUBG1|TYMS|NSD2|YWHAH|H2AC20|H3C2|H4C3|CDC23|PKMYT1|SMC3|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|TPX2|PHF8|ANKLE2|PSME4|NUP210|CLASP1|SYNE1|NUP188|POLA2|SUN2|FBXO5|NCAPH2|GMNN|GTSE1|GINS2|NCAPG2|ZWILCH|WRAP53|CDCA8|CENPN|RCC2|CLSPN|CENPM|CENPU|CTC1|CDT1|TUBA1C|SGO2|CC2D1B|TUBB|CENPW,-47.88420374010056,0,1,1,1,-52.24591269333887,11.174603174603174,
1,-47.549557690715204,R-HSA-69278,M1,1,0,Reactome Gene Sets,6,"Cell Cycle, Mitotic",,-47.549557690715204,8.031372549019608,22.617385204005718,28160,561,500,80,16.0,1.6395121225535356,332|890|891|983|991|1021|1062|1063|1719|1859|1871|2033|2237|3012|3014|3017|3978|4001|4171|4172|4173|4174|4175|4176|4928|4999|5111|5116|5347|5424|6241|7027|7083|7153|7280|7283|7298|8338|8358|8364|8697|9088|9126|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|22974|23133|23141|23198|23225|23332|23511|23649|26271|29781|51053|51512|51659|54892|55055|55143|55839|55920|79019|79682|81620|84790|151246|200014|203068,BIRC5|CCNA2|CCNB1|CDK1|CDC20|CDK6|CENPE|CENPF|DHFR|DYRK1A|E2F3|EP300|FEN1|H2AC8|H2AX|H2BC5|LIG1|LMNB1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|NUP98|ORC2|PCNA|PCNT|PLK1|POLD1|RRM2|TFDP1|TK1|TOP2A|TUBB2A|TUBG1|TYMS|H2AC20|H3C2|H4C3|CDC23|PKMYT1|SMC3|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|TPX2|PHF8|ANKLE2|PSME4|NUP210|CLASP1|NUP188|POLA2|FBXO5|NCAPH2|GMNN|GTSE1|GINS2|NCAPG2|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|CDT1|TUBA1C|SGO2|CC2D1B|TUBB,-43.48887873314087,0,1,0,0,-52.24591269333887,11.174603174603174,
1,-26.833122802731324,R-HSA-68886,M1,1,0,Reactome Gene Sets,6,M Phase,,-26.833122802731324,6.871578947368421,16.260791829484447,28160,418,500,51,10.2,1.3534843922262274,332|891|983|991|1062|1063|3012|3014|3017|4001|4928|5116|5347|7280|7283|8338|8358|8364|8697|9126|9133|9232|9883|9918|10051|10274|10376|10383|10403|10592|11065|11130|23133|23141|23198|23225|23332|23511|26271|29781|54892|55055|55143|55839|55920|79019|79682|84790|151246|200014|203068,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|H2AC8|H2AX|H2BC5|LMNB1|NUP98|PCNT|PLK1|TUBB2A|TUBG1|H2AC20|H3C2|H4C3|CDC23|SMC3|CCNB2|PTTG1|POM121|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|UBE2C|ZWINT|PHF8|ANKLE2|PSME4|NUP210|CLASP1|NUP188|FBXO5|NCAPH2|NCAPG2|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|CC2D1B|TUBB,-23.07347384082097,0,1,0,0,-52.24591269333887,11.174603174603174,
1,-21.263270038065464,R-HSA-2555396,M1,1,0,Reactome Gene Sets,6,Mitotic Metaphase and Anaphase,,-21.263270038065464,8.317299578059073,15.209379587088467,28160,237,500,35,7.0,1.141052146047673,332|891|983|991|1062|1063|4001|4928|5347|7280|8697|9126|9133|9232|9883|10274|10376|10383|10403|11065|11130|23141|23198|23332|23511|26271|55055|55143|55839|55920|79019|79682|84790|151246|200014,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|LMNB1|NUP98|PLK1|TUBB2A|CDC23|SMC3|CCNB2|PTTG1|POM121|STAG1|TUBA1B|TUBB4B|NDC80|UBE2C|ZWINT|ANKLE2|PSME4|CLASP1|NUP188|FBXO5|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|CC2D1B,-18.047689120505385,0,1,0,0,-52.24591269333887,11.174603174603174,
1,-20.31496738130593,R-HSA-68882,M1,1,0,Reactome Gene Sets,6,Mitotic Anaphase,,-20.31496738130593,8.113898305084746,14.755107146733694,28160,236,500,34,6.8,1.1258419071965655,332|891|983|991|1062|1063|4001|4928|5347|7280|8697|9126|9133|9232|9883|10274|10376|10383|10403|11065|11130|23141|23198|23332|23511|55055|55143|55839|55920|79019|79682|84790|151246|200014,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|LMNB1|NUP98|PLK1|TUBB2A|CDC23|SMC3|CCNB2|PTTG1|POM121|STAG1|TUBA1B|TUBB4B|NDC80|UBE2C|ZWINT|ANKLE2|PSME4|CLASP1|NUP188|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|CC2D1B,-17.15737841072354,0,1,0,0,-52.24591269333887,11.174603174603174,
1,-19.310199363183674,R-HSA-195258,M1,1,0,Reactome Gene Sets,6,RHO GTPase Effectors,,-19.310199363183674,6.544831804281345,13.55969033560409,28160,327,500,38,7.6,1.1851075900524812,332|991|1062|1063|1729|2316|3012|3014|3017|3071|4627|4771|4928|5347|5580|5879|7280|7533|8338|8358|8364|8826|10376|10383|10403|11130|23028|23332|26999|55055|55143|55839|55920|79019|79682|84790|147179|151246,BIRC5|CDC20|CENPE|CENPF|DIAPH1|FLNA|H2AC8|H2AX|H2BC5|NCKAP1L|MYH9|NF2|NUP98|PLK1|PRKCD|RAC1|TUBB2A|YWHAH|H2AC20|H3C2|H4C3|IQGAP1|TUBA1B|TUBB4B|NDC80|ZWINT|KDM1A|CLASP1|CYFIP2|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|WIPF2|SGO2,-16.270709704679277,0,1,0,0,-52.24591269333887,11.174603174603174,
1,-19.26086220240291,R-HSA-68877,M1,1,0,Reactome Gene Sets,6,Mitotic Prometaphase,,-19.26086220240291,8.55843137254902,14.567223053886632,28160,204,500,31,6.2,1.0784804124322331,332|891|983|991|1062|1063|4928|5116|5347|7280|7283|9126|9133|9918|10051|10274|10376|10383|10403|10592|11130|23332|55055|55143|55839|55920|79019|79682|84790|151246|203068,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|NUP98|PCNT|PLK1|TUBB2A|TUBG1|SMC3|CCNB2|NCAPD2|SMC4|STAG1|TUBA1B|TUBB4B|NDC80|SMC2|ZWINT|CLASP1|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2|TUBB,-16.2415759299868,0,1,0,0,-52.24591269333887,11.174603174603174,
1,-18.534925010852604,R-HSA-2500257,M1,1,0,Reactome Gene Sets,6,Resolution of Sister Chromatid Cohesion,,-18.534925010852604,11.174603174603174,15.389614682057232,28160,126,500,25,5.0,0.9746794344808964,332|891|983|991|1062|1063|4928|5347|7280|9126|9133|10274|10376|10383|10403|11130|23332|55055|55143|55839|55920|79019|79682|84790|151246,BIRC5|CCNB1|CDK1|CDC20|CENPE|CENPF|NUP98|PLK1|TUBB2A|SMC3|CCNB2|STAG1|TUBA1B|TUBB4B|NDC80|ZWINT|CLASP1|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|SGO2,-15.588189405585105,0,1,0,0,-52.24591269333887,11.174603174603174,
1,-17.995899353970522,R-HSA-194315,M1,1,0,Reactome Gene Sets,6,Signaling by Rho GTPases,,-17.995899353970522,4.222008486562942,11.665651818955412,28160,707,500,53,10.6,1.3766916866168692,332|991|1062|1063|1213|1729|2316|2889|3012|3014|3017|3071|3954|4001|4627|4650|4771|4928|5347|5580|5879|6510|6711|7171|7280|7533|8338|8358|8364|8826|9146|10376|10383|10403|11130|23013|23028|23141|23332|23344|23526|26999|29127|55055|55143|55839|55920|79019|79682|84790|139818|147179|151246,BIRC5|CDC20|CENPE|CENPF|CLTC|DIAPH1|FLNA|RAPGEF1|H2AC8|H2AX|H2BC5|NCKAP1L|LETM1|LMNB1|MYH9|MYO9B|NF2|NUP98|PLK1|PRKCD|RAC1|SLC1A5|SPTBN1|TPM4|TUBB2A|YWHAH|H2AC20|H3C2|H4C3|IQGAP1|HGS|TUBA1B|TUBB4B|NDC80|ZWINT|SPEN|KDM1A|ANKLE2|CLASP1|ESYT1|ARHGAP45|CYFIP2|RACGAP1|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|DOCK11|WIPF2|SGO2,-15.081348432074424,0,1,0,0,-52.24591269333887,11.174603174603174,
1,-17.572496924204227,R-HSA-9716542,M1,1,0,Reactome Gene Sets,6,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-17.572496924204227,4.128575380359613,11.458162802380759,28160,723,500,53,10.6,1.3766916866168692,332|991|1062|1063|1213|1729|2316|2889|3012|3014|3017|3071|3954|4001|4627|4650|4771|4928|5347|5580|5879|6510|6711|7171|7280|7533|8338|8358|8364|8826|9146|10376|10383|10403|11130|23013|23028|23141|23332|23344|23526|26999|29127|55055|55143|55839|55920|79019|79682|84790|139818|147179|151246,BIRC5|CDC20|CENPE|CENPF|CLTC|DIAPH1|FLNA|RAPGEF1|H2AC8|H2AX|H2BC5|NCKAP1L|LETM1|LMNB1|MYH9|MYO9B|NF2|NUP98|PLK1|PRKCD|RAC1|SLC1A5|SPTBN1|TPM4|TUBB2A|YWHAH|H2AC20|H3C2|H4C3|IQGAP1|HGS|TUBA1B|TUBB4B|NDC80|ZWINT|SPEN|KDM1A|ANKLE2|CLASP1|ESYT1|ARHGAP45|CYFIP2|RACGAP1|ZWILCH|CDCA8|CENPN|RCC2|CENPM|CENPU|TUBA1C|DOCK11|WIPF2|SGO2,-14.687909225685573,0,1,0,0,-52.24591269333887,11.174603174603174,
