_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.6,GO:0006310,DNA recombination,M1,1,0
1,-2.6,hsa04914,Progesterone-mediated oocyte maturation,M1,1,0
1,-2.2,R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,M1,1,0
1,-3.3,R-HSA-5693567,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),M1,1,0
1,-2.6,GO:0032642,regulation of chemokine production,M1,1,0
1,-3.3,GO:0006282,regulation of DNA repair,M1,1,0
1,-2.6,R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,M1,1,0
1,-2.1,hsa05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-2.5,GO:0043583,ear development,M1,1,0
1,-2.6,R-HSA-68877,Mitotic Prometaphase,M1,1,0
1,-2.1,R-HSA-212165,Epigenetic regulation of gene expression,M1,1,0
1,-2.4,R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),M1,1,0
1,-3.5,GO:0010569,regulation of double-strand break repair via homologous recombination,M1,1,0
1,-2.3,GO:0071824,protein-DNA complex subunit organization,M1,1,0
1,-2.1,GO:0044839,cell cycle G2/M phase transition,M1,1,0
1,-2.5,GO:0006958,"complement activation, classical pathway",M1,1,0
1,-2.9,R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,M1,1,0
1,-3.1,R-HSA-5334118,DNA methylation,M1,1,0
1,-2.3,GO:0051282,regulation of sequestering of calcium ion,M1,1,0
1,-2.4,GO:0000209,protein polyubiquitination,M1,1,0
1,-2.4,R-HSA-382551,Transport of small molecules,M1,1,0
1,-2.2,GO:0099024,plasma membrane invagination,M1,1,0
1,-2.4,R-HSA-157579,Telomere Maintenance,M1,1,0
1,-2.3,GO:0006302,double-strand break repair,M1,1,0
1,-2.1,R-HSA-453279,Mitotic G1 phase and G1/S transition,M1,1,0
1,-2.2,GO:0006260,DNA replication,M1,1,0
1,-3.6,R-HSA-2262752,Cellular responses to stress,M1,1,0
1,-2.6,R-HSA-5693607,Processing of DNA double-strand break ends,M1,1,0
1,-2.6,hsa01522,Endocrine resistance,M1,1,0
1,-2.1,GO:0010324,membrane invagination,M1,1,0
1,-2.9,R-HSA-5693532,DNA Double-Strand Break Repair,M1,1,0
1,-2.4,GO:0008037,cell recognition,M1,1,0
1,-2.9,GO:0071407,cellular response to organic cyclic compound,M1,1,0
1,-2.1,GO:0098662,inorganic cation transmembrane transport,M1,1,0
1,-3.3,GO:0006323,DNA packaging,M1,1,0
1,-2.9,R-HSA-774815,Nucleosome assembly,M1,1,0
1,-3.2,GO:0000724,double-strand break repair via homologous recombination,M1,1,0
