_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-6.926121404214985,GO:0032091,M1,1,0,GO Biological Processes,19,negative regulation of protein binding,19_GO:0065007 biological regulation,-6.926121404214985,84.69172932330828,18.223261666809375,28160,95,14,4,28.571428571428573,12.07363221040738,857|1601|3433|3434,CAV1|DAB2|IFIT2|IFIT1,-2.565433342184307,0,1,1,1,-6.926121404214985,84.69172932330828,
1,-5.985005828841239,GO:0051100,M1,1,0,GO Biological Processes,19,negative regulation of binding,19_GO:0065007 biological regulation,-5.985005828841239,49.36021034180544,13.809899713625786,28160,163,14,4,28.571428571428573,12.07363221040738,857|1601|3433|3434,CAV1|DAB2|IFIT2|IFIT1,-1.9253477624745425,0,1,0,0,-6.926121404214985,84.69172932330828,
1,-5.657304777821719,GO:0043393,M1,1,0,GO Biological Processes,19,regulation of protein binding,19_GO:0065007 biological regulation,-5.657304777821719,40.841189267585214,12.515200612724731,28160,197,14,4,28.571428571428573,12.07363221040738,857|1601|3433|3434,CAV1|DAB2|IFIT2|IFIT1,-1.7737379705107033,0,1,0,0,-6.926121404214985,84.69172932330828,
1,-4.60535019992193,GO:0051098,M1,1,0,GO Biological Processes,19,regulation of binding,19_GO:0065007 biological regulation,-4.60535019992193,22.10361067503925,9.038171892306567,28160,364,14,4,28.571428571428573,12.07363221040738,857|1601|3433|3434,CAV1|DAB2|IFIT2|IFIT1,-0.9436321422272709,0,1,0,0,-6.926121404214985,84.69172932330828,
1,-2.5627631013316527,GO:0071407,M1,1,0,GO Biological Processes,19,cellular response to organic cyclic compound,19_GO:0050896 response to stimulus,-2.5627631013316527,10.315018315018314,5.077713297500874,28160,585,14,3,21.428571428571427,10.966421051124835,857|1601|3434,CAV1|DAB2|IFIT1,0.0,0,1,0,0,-6.926121404214985,84.69172932330828,
1,-5.2798236210865666,R-HSA-909733,M1,1,0,Reactome Gene Sets,6,Interferon alpha/beta signaling,,-5.2798236210865666,86.20408163265306,15.918342335146138,28160,70,14,3,21.428571428571427,10.966421051124835,3433|3434|3437,IFIT2|IFIT1|IFIT3,-1.5211955503838508,0,2,1,1,-5.2798236210865666,86.20408163265306,
1,-3.9227313236247263,R-HSA-913531,M1,1,0,Reactome Gene Sets,6,Interferon Signaling,,-3.9227313236247263,30.32304379038047,9.258135387915976,28160,199,14,3,21.428571428571427,10.966421051124835,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.34019451197769174,0,2,0,0,-5.2798236210865666,86.20408163265306,
1,-3.5467482657754763,GO:0051607,M1,1,0,GO Biological Processes,19,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.5467482657754763,22.60032102728732,7.909199187897098,28160,267,14,3,21.428571428571427,10.966421051124835,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.0891501907367418,0,2,0,0,-5.2798236210865666,86.20408163265306,
1,-3.5467482657754763,GO:0140546,M1,1,0,GO Biological Processes,19,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.5467482657754763,22.60032102728732,7.909199187897098,28160,267,14,3,21.428571428571427,10.966421051124835,3433|3434|3437,IFIT2|IFIT1|IFIT3,-0.0891501907367418,0,2,0,0,-5.2798236210865666,86.20408163265306,
1,-3.136862670393392,GO:0009615,M1,1,0,GO Biological Processes,19,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.136862670393392,16.353077816492448,6.6209580645027994,28160,369,14,3,21.428571428571427,10.966421051124835,3433|3434|3437,IFIT2|IFIT1|IFIT3,0.0,0,2,0,0,-5.2798236210865666,86.20408163265306,
1,-2.317537564074182,R-HSA-1280215,M1,1,0,Reactome Gene Sets,6,Cytokine Signaling in Immune system,,-2.317537564074182,8.439560439560438,4.493998982808241,28160,715,14,3,21.428571428571427,10.966421051124835,3433|3434|3437,IFIT2|IFIT1|IFIT3,0.0,0,2,0,0,-5.2798236210865666,86.20408163265306,
1,-2.4468143921147543,GO:0030855,M1,1,0,GO Biological Processes,19,epithelial cell differentiation,19_GO:0032502 developmental process,-2.4468143921147543,9.384581204176849,4.796788940105761,28160,643,14,3,21.428571428571427,10.966421051124835,857|1601|7379,CAV1|DAB2|UPK2,0.0,0,3,1,1,-2.4468143921147543,9.384581204176849,
