_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.4,GO:0032728,positive regulation of interferon-beta production,M1,1,0
1,-2.5,R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,M1,1,0
1,-3.6,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-3.8,WP4963,p53 transcriptional gene network,M1,1,0
1,-4.8,R-HSA-877300,Interferon gamma signaling,M1,1,0
1,-2.3,GO:0044766,multi-organism transport,M1,1,0
1,-3.3,GO:0034341,response to interferon-gamma,M1,1,0
1,-4.1,GO:0072679,thymocyte migration,M1,1,0
1,-8.4,GO:0060338,regulation of type I interferon-mediated signaling pathway,M1,1,0
1,-3.3,GO:2000404,regulation of T cell migration,M1,1,0
1,-2.3,hsa04664,Fc epsilon RI signaling pathway ,M1,1,0
1,-14,GO:0045071,negative regulation of viral genome replication,M1,1,0
1,-3.5,GO:0001906,cell killing,M1,1,0
1,-7,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-4.9,GO:0052372,modulation by symbiont of entry into host,M1,1,0
1,-12,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-4.1,GO:0060761,negative regulation of response to cytokine stimulus,M1,1,0
1,-2.9,GO:0043303,mast cell degranulation,M1,1,0
1,-2.6,GO:0032609,interferon-gamma production,M1,1,0
1,-20,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-3.5,WP1424,Globo sphingolipid metabolism,M1,1,0
1,-2.7,GO:0050729,positive regulation of inflammatory response,M1,1,0
1,-3.2,GO:1901623,regulation of lymphocyte chemotaxis,M1,1,0
1,-3.6,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",M1,1,0
1,-4.9,GO:0002705,positive regulation of leukocyte mediated immunity,M1,1,0
1,-2.6,GO:0046640,regulation of alpha-beta T cell proliferation,M1,1,0
1,-2.2,ko04662,B cell receptor signaling pathway,M1,1,0
1,-4,hsa05160,Hepatitis C,M1,1,0
1,-2,GO:0006636,unsaturated fatty acid biosynthetic process,M1,1,0
1,-2.2,GO:0035710,"CD4-positive, alpha-beta T cell activation",M1,1,0
1,-2.3,GO:0002285,lymphocyte activation involved in immune response,M1,1,0
1,-2.8,GO:0002218,activation of innate immune response,M1,1,0
1,-2.9,GO:0071674,mononuclear cell migration,M1,1,0
1,-4.5,GO:0032648,regulation of interferon-beta production,M1,1,0
1,-2.7,R-HSA-392518,Signal amplification,M1,1,0
1,-8.5,GO:0002275,myeloid cell activation involved in immune response,M1,1,0
1,-3.6,GO:0006968,cellular defense response,M1,1,0
