Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0016569,covalent chromatin modification,19_GO:0008152 metabolic process,-16,5.2,11,28160,481,415,37,8.9,1.4,1387|2033|3009|3662|6018|6497|6720|6907|7874|7994|8450|8861|8888|9031|9739|9862|10155|11108|22976|23067|23133|23326|23429|25942|29072|51043|51366|54790|54880|55209|55729|55809|57634|79697|93624|221656|339287,CREBBP|EP300|H1-5|IRF4|RLF|SKI|SREBF1|TBL1X|USP7|KAT6A|CUL4B|LDB1|MCM3AP|BAZ1B|SETD1A|MED24|TRIM28|PRDM4|PAXIP1|SETD1B|PHF8|USP22|RYBP|SIN3A|SETD2|ZBTB7B|UBR5|TET2|BCOR|SETD5|ATF7IP|TRERF1|EP400|RIOX1|TADA2B|KDM1B|MSL1,-11
MyList,GO Biological Processes,19,GO:0016570,histone modification,19_GO:0008152 metabolic process,-14,5.1,11,28160,467,415,35,8.4,1.4,1387|2033|3009|3662|6018|6497|6720|6907|7874|7994|8450|8861|8888|9031|9739|9862|11108|22976|23067|23133|23326|23429|25942|29072|51043|51366|54790|54880|55209|55809|57634|79697|93624|221656|339287,CREBBP|EP300|H1-5|IRF4|RLF|SKI|SREBF1|TBL1X|USP7|KAT6A|CUL4B|LDB1|MCM3AP|BAZ1B|SETD1A|MED24|PRDM4|PAXIP1|SETD1B|PHF8|USP22|RYBP|SIN3A|SETD2|ZBTB7B|UBR5|TET2|BCOR|SETD5|TRERF1|EP400|RIOX1|TADA2B|KDM1B|MSL1,-10
MyList,GO Biological Processes,19,GO:0018205,peptidyl-lysine modification,19_GO:0008152 metabolic process,-9.2,4.5,8.3,28160,380,415,25,6,1.2,1387|1958|2033|3009|3662|6018|7917|7994|8861|8888|9739|9862|10155|22976|23067|23326|25942|29072|54790|54880|55209|57609|57634|93624|339287,CREBBP|EGR1|EP300|H1-5|IRF4|RLF|BAG6|KAT6A|LDB1|MCM3AP|SETD1A|MED24|TRIM28|PAXIP1|SETD1B|USP22|SIN3A|SETD2|TET2|BCOR|SETD5|DIP2B|EP400|TADA2B|MSL1,-6.3
MyList,GO Biological Processes,19,GO:0006473,protein acetylation,19_GO:0008152 metabolic process,-8.9,6,8.8,28160,202,415,18,4.3,1,1387|2033|2308|3662|7917|7994|8861|8888|9862|22976|23326|25942|55209|57609|57634|93624|122830|339287,CREBBP|EP300|FOXO1|IRF4|BAG6|KAT6A|LDB1|MCM3AP|MED24|PAXIP1|USP22|SIN3A|SETD5|DIP2B|EP400|TADA2B|NAA30|MSL1,-6
MyList,GO Biological Processes,19,GO:1903827,regulation of cellular protein localization,19_GO:0051179 localization,-8.8,3.7,7.7,28160,527,415,29,7,1.3,288|636|1213|1263|1454|3458|3985|4771|5170|5583|6720|7037|9113|9451|9695|9747|10155|11190|25885|25942|29072|51277|51366|54434|55294|56623|80149|84445|84687,ANK3|BICD1|CLTC|PLK3|CSNK1E|IFNG|LIMK2|NF2|PDPK1|PRKCH|SREBF1|TFRC|LATS1|EIF2AK3|EDEM1|TCAF1|TRIM28|CEP250|POLR1A|SIN3A|SETD2|DNAJC27|UBR5|SSH1|FBXW7|INPP5E|ZC3H12A|LZTS2|PPP1R9B,-6
MyList,GO Biological Processes,19,GO:0034504,protein localization to nucleus,19_GO:0051179 localization,-8.6,4.9,8.2,28160,289,415,21,5.1,1.1,1994|3458|3836|3985|4771|4928|5469|6774|7037|7486|9113|9451|10155|25777|25885|25942|26953|51366|80149|84445|100101267,ELAVL1|IFNG|KPNA1|LIMK2|NF2|NUP98|MED1|STAT3|TFRC|WRN|LATS1|EIF2AK3|TRIM28|SUN2|POLR1A|SIN3A|RANBP6|UBR5|ZC3H12A|LZTS2|POM121C,-5.8
MyList,GO Biological Processes,19,GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",19_GO:0002376 immune system process,-8.4,11,10,28160,67,415,11,2.7,0.79,3123|3458|3566|3662|3718|5971|6774|51043|64332|80149|84807,HLA-DRB1|IFNG|IL4R|IRF4|JAK3|RELB|STAT3|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID,-5.7
MyList,GO Biological Processes,19,GO:0002293,alpha-beta T cell differentiation involved in immune response,19_GO:0002376 immune system process,-8.3,11,10,28160,68,415,11,2.7,0.79,3123|3458|3566|3662|3718|5971|6774|51043|64332|80149|84807,HLA-DRB1|IFNG|IL4R|IRF4|JAK3|RELB|STAT3|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID,-5.7
MyList,GO Biological Processes,19,GO:0046637,regulation of alpha-beta T cell differentiation,19_GO:0002376 immune system process,-8.3,11,10,28160,68,415,11,2.7,0.79,639|3123|3458|3566|3662|3707|3718|51043|64332|80149|84807,PRDM1|HLA-DRB1|IFNG|IL4R|IRF4|ITPKB|JAK3|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID,-5.7
MyList,GO Biological Processes,19,GO:0002287,alpha-beta T cell activation involved in immune response,19_GO:0002376 immune system process,-8.3,11,10,28160,68,415,11,2.7,0.79,3123|3458|3566|3662|3718|5971|6774|51043|64332|80149|84807,HLA-DRB1|IFNG|IL4R|IRF4|JAK3|RELB|STAT3|ZBTB7B|NFKBIZ|ZC3H12A|NFKBID,-5.7
MyList,GO Biological Processes,19,GO:0051169,nuclear transport,19_GO:0051179 localization,-8.3,4.7,8,28160,300,415,21,5.1,1.1,1994|3458|3836|4928|5310|5469|6774|8888|10155|10189|11260|23049|23381|26953|29072|29890|51277|51366|80149|84445|100101267,ELAVL1|IFNG|KPNA1|NUP98|PKD1|MED1|STAT3|MCM3AP|TRIM28|ALYREF|XPOT|SMG1|SMG5|RANBP6|SETD2|RBM15B|DNAJC27|UBR5|ZC3H12A|LZTS2|POM121C,-5.7
