_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-13.192718643891453,GO:0008152,metabolic process,M1,1,GO:0016569 covalent chromatin modification
1,-9.981768113786286,GO:0002376,immune system process,M1,1,GO:0046649 lymphocyte activation
1,-8.853833246116253,GO:0051179,localization,M1,1,GO:1903827 regulation of cellular protein localization
1,-6.967541084453384,GO:0050789,regulation of biological process,M1,1,GO:1902275 regulation of chromatin organization
1,-6.309367929811409,GO:0048518,positive regulation of biological process,M1,1,GO:1903829 positive regulation of cellular protein localization
1,-6.073259242009608,GO:0009987,cellular process,M1,1,GO:0061919 process utilizing autophagic mechanism
1,-5.915995580145897,GO:0023052,signaling,M1,1,GO:0006984 ER-nucleus signaling pathway
1,-5.241738507121903,GO:0050896,response to stimulus,M1,1,GO:0071407 cellular response to organic cyclic compound
1,-4.764580584727763,GO:0022610,biological adhesion,M1,1,"GO:0043372 positive regulation of CD4-positive, alpha-beta T cell differentiation"
1,-4.470862945370683,GO:0032502,developmental process,M1,1,GO:0060322 head development
1,-4.319378232685643,GO:0048519,negative regulation of biological process,M1,1,GO:0060969 negative regulation of gene silencing
1,-4.0614003345095515,GO:0065007,biological regulation,M1,1,GO:0051098 regulation of binding
1,-3.992245842691667,GO:0048511,rhythmic process,M1,1,GO:0007623 circadian rhythm
1,-3.804037674503832,GO:0016032,viral process,M1,1,GO:0016032 viral process
1,-3.1213569854229832,GO:0022414,reproductive process,M1,1,GO:0051321 meiotic cell cycle
1,-2.7549529196511413,GO:0040007,growth,M1,1,GO:0048589 developmental growth
1,-2.432165168942564,GO:0032501,multicellular organismal process,M1,1,GO:0001659 temperature homeostasis
1,-2.2216750079507537,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0044403 biological process involved in symbiotic interaction
1,-2.008486792677908,GO:0040011,locomotion,M1,1,GO:0030335 positive regulation of cell migration
