_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.5,GO:0002448,mast cell mediated immunity,M1,1,0
1,-2.3,GO:0045620,negative regulation of lymphocyte differentiation,M1,1,0
1,-6.6,WP4197,Immune response to tuberculosis,M1,1,0
1,-3.6,R-HSA-877300,Interferon gamma signaling,M1,1,0
1,-15,GO:0051607,defense response to virus,M1,1,0
1,-2.7,GO:1902105,regulation of leukocyte differentiation,M1,1,0
1,-2.9,GO:0001906,cell killing,M1,1,0
1,-3.8,GO:1990840,response to lectin,M1,1,0
1,-2.5,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-8.2,GO:0048525,negative regulation of viral process,M1,1,0
1,-3.5,GO:0002218,activation of innate immune response,M1,1,0
1,-2.5,GO:0043300,regulation of leukocyte degranulation,M1,1,0
1,-5.1,GO:0050863,regulation of T cell activation,M1,1,0
1,-5.4,GO:0051249,regulation of lymphocyte activation,M1,1,0
1,-5.8,GO:0045089,positive regulation of innate immune response,M1,1,0
1,-3.5,GO:0002220,innate immune response activating cell surface receptor signaling pathway,M1,1,0
1,-4.6,GO:0070663,regulation of leukocyte proliferation,M1,1,0
1,-4.5,GO:0002285,lymphocyte activation involved in immune response,M1,1,0
1,-2.1,GO:0002720,positive regulation of cytokine production involved in immune response,M1,1,0
1,-3.5,GO:1902579,multi-organism localization,M1,1,0
1,-2.3,GO:0031623,receptor internalization,M1,1,0
1,-3.6,GO:0071605,monocyte chemotactic protein-1 production,M1,1,0
1,-3,GO:0030168,platelet activation,M1,1,0
1,-3.6,GO:0071637,regulation of monocyte chemotactic protein-1 production,M1,1,0
1,-9.4,GO:0002697,regulation of immune effector process,M1,1,0
1,-9.6,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-2.1,GO:0022409,positive regulation of cell-cell adhesion,M1,1,0
1,-3.5,GO:0032816,positive regulation of natural killer cell activation,M1,1,0
1,-3.2,GO:0032653,regulation of interleukin-10 production,M1,1,0
1,-4.9,GO:0046651,lymphocyte proliferation,M1,1,0
1,-14,R-HSA-909733,Interferon alpha/beta signaling,M1,1,0
1,-2.8,GO:0032418,lysosome localization,M1,1,0
1,-5.9,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2.7,GO:0042509,regulation of tyrosine phosphorylation of STAT protein,M1,1,0
1,-2.2,ko04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.7,GO:0050000,chromosome localization,M1,1,0
1,-7.5,GO:1903900,regulation of viral life cycle,M1,1,0
1,-3.8,GO:0032945,negative regulation of mononuclear cell proliferation,M1,1,0
1,-2,GO:0018108,peptidyl-tyrosine phosphorylation,M1,1,0
1,-9.1,GO:0002252,immune effector process,M1,1,0
1,-4.4,GO:0035456,response to interferon-beta,M1,1,0
1,-3.8,GO:0062208,positive regulation of pattern recognition receptor signaling pathway,M1,1,0
1,-2,GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,M1,1,0
1,-2.2,GO:0002521,leukocyte differentiation,M1,1,0
1,-4.7,GO:0002705,positive regulation of leukocyte mediated immunity,M1,1,0
1,-2.5,GO:0002715,regulation of natural killer cell mediated immunity,M1,1,0
1,-2.2,GO:0009617,response to bacterium,M1,1,0
1,-2.6,GO:0030155,regulation of cell adhesion,M1,1,0
1,-4.5,R-HSA-2424491,DAP12 signaling,M1,1,0
1,-7.1,GO:0050792,regulation of viral process,M1,1,0
1,-3.9,GO:0033003,regulation of mast cell activation,M1,1,0
1,-2.4,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M1,1,0
1,-3.6,GO:0070664,negative regulation of leukocyte proliferation,M1,1,0
1,-4,GO:0032728,positive regulation of interferon-beta production,M1,1,0
1,-5.2,GO:0060339,negative regulation of type I interferon-mediated signaling pathway,M1,1,0
1,-9.2,R-HSA-1280215,Cytokine Signaling in Immune system,M1,1,0
1,-2.4,GO:0043112,receptor metabolic process,M1,1,0
1,-2,GO:0002381,immunoglobulin production involved in immunoglobulin-mediated immune response,M1,1,0
1,-5.3,GO:0070661,leukocyte proliferation,M1,1,0
1,-3.4,GO:0032648,regulation of interferon-beta production,M1,1,0
1,-4.9,GO:0016032,viral process,M1,1,0
1,-2.3,hsa05144,Malaria,M1,1,0
1,-2.1,GO:0030888,regulation of B cell proliferation,M1,1,0
1,-5.7,GO:0002275,myeloid cell activation involved in immune response,M1,1,0
1,-2.2,M7,PID FCER1 PATHWAY,M1,1,0
1,-2.4,GO:0042129,regulation of T cell proliferation,M1,1,0
1,-2.6,GO:0007260,tyrosine phosphorylation of STAT protein,M1,1,0
1,-2.6,GO:0007596,blood coagulation,M1,1,0
1,-4.4,GO:0035457,cellular response to interferon-alpha,M1,1,0
1,-3.8,GO:0034138,toll-like receptor 3 signaling pathway,M1,1,0
1,-4.5,GO:0032481,positive regulation of type I interferon production,M1,1,0
1,-3.6,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M1,1,0
1,-2.4,hsa05160,Hepatitis C,M1,1,0
1,-7.4,GO:0002764,immune response-regulating signaling pathway,M1,1,0
1,-2.4,GO:0007259,receptor signaling pathway via JAK-STAT,M1,1,0
1,-2.5,GO:0002718,regulation of cytokine production involved in immune response,M1,1,0
1,-5,R-HSA-1169410,Antiviral mechanism by IFN-stimulated genes,M1,1,0
1,-2.3,R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides,M1,1,0
1,-7.8,GO:0046649,lymphocyte activation,M1,1,0
1,-2.9,GO:0055094,response to lipoprotein particle,M1,1,0
1,-4,WP3937,Microglia pathogen phagocytosis pathway,M1,1,0
1,-2.4,GO:1904063,negative regulation of cation transmembrane transport,M1,1,0
1,-2.8,GO:0042098,T cell proliferation,M1,1,0
1,-3.1,GO:0045619,regulation of lymphocyte differentiation,M1,1,0
1,-2.5,GO:0002367,cytokine production involved in immune response,M1,1,0
1,-2.1,GO:0042130,negative regulation of T cell proliferation,M1,1,0
1,-2.3,GO:0006968,cellular defense response,M1,1,0
1,-3.9,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-2.5,GO:0045581,negative regulation of T cell differentiation,M1,1,0
1,-2.2,GO:0051640,organelle localization,M1,1,0
1,-6.6,GO:0001819,positive regulation of cytokine production,M1,1,0
1,-2.5,GO:0032091,negative regulation of protein binding,M1,1,0
1,-8,hsa04650,Natural killer cell mediated cytotoxicity,M1,1,0
1,-3.8,GO:0050672,negative regulation of lymphocyte proliferation,M1,1,0
1,-4.3,GO:0002431,Fc receptor mediated stimulatory signaling pathway,M1,1,0
1,-5.4,GO:0042119,neutrophil activation,M1,1,0
1,-4.8,GO:0071357,cellular response to type I interferon,M1,1,0
1,-5,GO:0031349,positive regulation of defense response,M1,1,0
1,-2.1,ko04664,Fc epsilon RI signaling pathway,M1,1,0
1,-4,GO:0140374,antiviral innate immune response,M1,1,0
1,-4.1,GO:0060338,regulation of type I interferon-mediated signaling pathway,M1,1,0
