Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0140546,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-15,12,14,28160,267,174,20,11,2.4,684|958|2537|3433|3434|3437|3600|4599|4938|4940|5359|9636|10875|10964|53840|64108|79132|81622|91543|282618,BST2|CD40|IFI6|IFIT2|IFIT1|IFIT3|IL15|MX1|OAS1|OAS3|PLSCR1|ISG15|FGL2|IFI44L|TRIM34|RTP4|DHX58|UNC93B1|RSAD2|IFNL1,-11,MyList
GO Biological Processes,19,GO:0051607,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-15,12,14,28160,267,174,20,11,2.4,684|958|2537|3433|3434|3437|3600|4599|4938|4940|5359|9636|10875|10964|53840|64108|79132|81622|91543|282618,BST2|CD40|IFI6|IFIT2|IFIT1|IFIT3|IL15|MX1|OAS1|OAS3|PLSCR1|ISG15|FGL2|IFI44L|TRIM34|RTP4|DHX58|UNC93B1|RSAD2|IFNL1,-11,MyList
Reactome Gene Sets,6,R-HSA-909733,Interferon alpha/beta signaling,,-14,28,18,28160,70,174,12,6.9,1.9,684|2537|3430|3433|3434|3437|4599|4938|4940|9636|11274|91543,BST2|IFI6|IFI35|IFIT2|IFIT1|IFIT3|MX1|OAS1|OAS3|ISG15|USP18|RSAD2,-10,MyList
GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-14,9.2,13,28160,369,174,21,12,2.5,684|958|2537|3433|3434|3437|3600|4599|4938|4940|5359|6375|9636|10875|10964|53840|64108|79132|81622|91543|282618,BST2|CD40|IFI6|IFIT2|IFIT1|IFIT3|IL15|MX1|OAS1|OAS3|PLSCR1|XCL1|ISG15|FGL2|IFI44L|TRIM34|RTP4|DHX58|UNC93B1|RSAD2|IFNL1,-10,MyList
Reactome Gene Sets,6,R-HSA-913531,Interferon Signaling,,-12,12,13,28160,199,174,15,8.6,2.1,684|2537|3430|3433|3434|3437|4502|4599|4938|4940|9636|11274|51127|53840|91543,BST2|IFI6|IFI35|IFIT2|IFIT1|IFIT3|MT2A|MX1|OAS1|OAS3|ISG15|USP18|TRIM17|TRIM34|RSAD2,-8,MyList
GO Biological Processes,19,GO:0002366,leukocyte activation involved in immune response,19_GO:0002376 immune system process,-9.7,8.8,10,28160,276,174,15,8.6,2.1,958|2207|3430|3822|6850|7305|7462|8013|10875|11314|51744|117157|202309|257101|282618,CD40|FCER1G|IFI35|KLRC2|SYK|TYROBP|LAT2|NR4A3|FGL2|CD300A|CD244|SH2D1B|GAPT|ZNF683|IFNL1,-6.1,MyList
GO Biological Processes,19,GO:0002831,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-9.6,7.9,9.9,28160,327,174,16,9.2,2.2,3430|3434|3600|3822|4938|4940|5359|6850|7305|9636|10875|11274|22914|79132|117157|149628,IFI35|IFIT1|IL15|KLRC2|OAS1|OAS3|PLSCR1|SYK|TYROBP|ISG15|FGL2|USP18|KLRK1|DHX58|SH2D1B|PYHIN1,-6.1,MyList
GO Biological Processes,19,GO:0002263,cell activation involved in immune response,19_GO:0002376 immune system process,-9.6,8.7,10,28160,280,174,15,8.6,2.1,958|2207|3430|3822|6850|7305|7462|8013|10875|11314|51744|117157|202309|257101|282618,CD40|FCER1G|IFI35|KLRC2|SYK|TYROBP|LAT2|NR4A3|FGL2|CD300A|CD244|SH2D1B|GAPT|ZNF683|IFNL1,-6.1,MyList
GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-9.4,7.6,9.7,28160,341,174,16,9.2,2.2,684|958|3822|6375|6850|7305|8013|10875|11314|22914|51744|79132|91543|117157|257101|282618,BST2|CD40|KLRC2|XCL1|SYK|TYROBP|NR4A3|FGL2|CD300A|KLRK1|CD244|DHX58|RSAD2|SH2D1B|ZNF683|IFNL1,-5.9,MyList
Reactome Gene Sets,6,R-HSA-1280215,Cytokine Signaling in Immune system,,-9.2,5,8.5,28160,715,174,22,13,2.5,684|958|2537|3430|3433|3434|3437|3600|4502|4599|4938|4940|6285|6850|8742|9636|11274|51127|53840|84818|91543|282618,BST2|CD40|IFI6|IFI35|IFIT2|IFIT1|IFIT3|IL15|MT2A|MX1|OAS1|OAS3|S100B|SYK|TNFSF12|ISG15|USP18|TRIM17|TRIM34|IL17RC|RSAD2|IFNL1,-5.8,MyList
