_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-5.5,GO:0032728,positive regulation of interferon-beta production,M1,1,0
1,-2.4,GO:0006885,regulation of pH,M1,1,0
1,-2.2,R-HSA-163200,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",M1,1,0
1,-3.2,hsa04623,Cytosolic DNA-sensing pathway ,M1,1,0
1,-8.2,GO:0060338,regulation of type I interferon-mediated signaling pathway,M1,1,0
1,-3.2,GO:2000404,regulation of T cell migration,M1,1,0
1,-3.7,R-HSA-5676594,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,M1,1,0
1,-2.2,hsa04664,Fc epsilon RI signaling pathway ,M1,1,0
1,-4,GO:0001906,cell killing,M1,1,0
1,-8.4,GO:0002833,positive regulation of response to biotic stimulus,M1,1,0
1,-4.8,GO:0052372,modulation by symbiont of entry into host,M1,1,0
1,-17,GO:0002831,regulation of response to biotic stimulus,M1,1,0
1,-4.8,GO:0060761,negative regulation of response to cytokine stimulus,M1,1,0
1,-2.4,GO:0002478,antigen processing and presentation of exogenous peptide antigen,M1,1,0
1,-3.3,GO:1900246,positive regulation of RIG-I signaling pathway,M1,1,0
1,-2.5,GO:0032609,interferon-gamma production,M1,1,0
1,-2,GO:0022900,electron transport chain,M1,1,0
1,-4.7,GO:0002440,production of molecular mediator of immune response,M1,1,0
1,-20,GO:0045071,negative regulation of viral genome replication,M1,1,0
1,-2.6,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,M1,1,0
1,-4.6,WP4877,Host-pathogen interaction of human coronaviruses - MAPK signaling,M1,1,0
1,-2.7,GO:0035751,regulation of lysosomal lumen pH,M1,1,0
1,-2.2,GO:0039702,viral budding via host ESCRT complex,M1,1,0
1,-4.6,GO:0039528,cytoplasmic pattern recognition receptor signaling pathway in response to virus,M1,1,0
1,-2.5,R-HSA-5419276,Mitochondrial translation termination,M1,1,0
1,-3.4,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,M1,1,0
1,-3.4,GO:0060760,positive regulation of response to cytokine stimulus,M1,1,0
1,-6.9,GO:0034341,response to interferon-gamma,M1,1,0
1,-4.7,GO:0044766,multi-organism transport,M1,1,0
1,-8.4,R-HSA-877300,Interferon gamma signaling,M1,1,0
1,-2.8,GO:0051453,regulation of intracellular pH,M1,1,0
1,-6.4,ko05162,Measles,M1,1,0
1,-2.4,WP22,IL-9 signaling pathway,M1,1,0
1,-2.3,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,M1,1,0
1,-4.7,GO:0002705,positive regulation of leukocyte mediated immunity,M1,1,0
1,-3.1,GO:0045324,late endosome to vacuole transport,M1,1,0
1,-6,hsa05160,Hepatitis C,M1,1,0
1,-3,ko03420,Nucleotide excision repair,M1,1,0
1,-2.1,GO:0035710,"CD4-positive, alpha-beta T cell activation",M1,1,0
1,-5.4,GO:0032648,regulation of interferon-beta production,M1,1,0
1,-4.6,GO:0002275,myeloid cell activation involved in immune response,M1,1,0
1,-3.6,GO:0006968,cellular defense response,M1,1,0
1,-2.4,GO:0071605,monocyte chemotactic protein-1 production,M1,1,0
1,-2.6,GO:0030641,regulation of cellular pH,M1,1,0
