Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0002250,adaptive immune response,19_GO:0002376 immune system process,-35,6.1,18,28160,730,464,73,16,1.7,927|2207|3493|3494|3512|3822|4063|6375|6850|6978|6982|6984|7462|8284|8767|11126|23529|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|28558|28562|28568|28576|28586|28592|28596|28602|28611|28614|28617|28620|28646|28657|28667|28669|28683|28684|28689|28692|28693|28793|28796|28809|28813|28815|28817|28822|28823|28874|28876|28893|28912|28923|28937|28938|28941|30009|56253|64167|81622|91543|117157|257101|100423062|100528032,CD8B2|FCER1G|IGHA1|IGHA2|JCHAIN|KLRC2|LY9|XCL1|SYK|TRGV5|TRGV8|TRGV10|LAT2|KDM5D|RIPK2|CD160|CLCF1|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|TRBV29-1|TRBV25-1|TRBV19|TRBV12-4|TRBV9|TRBV7-6|TRBV7-2|TRBV6-5|TRBV5-4|TRBV5-1|TRBV4-1|TRBV2|TRAV36DV7|TRAV26-1|TRAV16|TRAV14DV4|TRAV8-3|TRAV8-2|TRAV4|TRAV1-2|TRAV1-1|IGLV3-25|IGLV3-21|IGLV3-1|IGLV2-23|IGLV2-14|IGLV2-8|IGLV1-47|IGLV1-44|IGKV3D-20|IGKV3D-11|IGKV1D-39|IGKV3-20|IGKV2-24|IGKV1-17|IGKV1-16|IGKV1-9|TBX21|CRTAM|ERAP2|UNC93B1|RSAD2|SH2D1B|ZNF683|IGLL5|KLRC4-KLRK1,-31,MyList
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-12,4,9.4,28160,576,464,38,8.2,1.3,2|719|1240|2207|2268|3430|3493|3494|3600|3822|6352|6375|6850|7305|7462|8398|8767|11126|23529|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|30009|56253|80231|81030|91543|117157|149628|100423062|100528032,A2M|C3AR1|CMKLR1|FCER1G|FGR|IFI35|IGHA1|IGHA2|IL15|KLRC2|CCL5|XCL1|SYK|TYROBP|LAT2|PLA2G6|RIPK2|CD160|CLCF1|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|TBX21|CRTAM|TASL|ZBP1|RSAD2|SH2D1B|PYHIN1|IGLL5|KLRC4-KLRK1,-8.2,MyList
GO Biological Processes,19,GO:0002764,immune response-regulating signaling pathway,19_GO:0002376 immune system process,-12,4.4,9.6,28160,472,464,34,7.3,1.2,719|1240|2207|2268|3430|3493|3494|3822|4814|4938|4940|6850|7305|7462|8398|8767|11126|23586|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|56927|79132|80231|81622|91543|100423062,C3AR1|CMKLR1|FCER1G|FGR|IFI35|IGHA1|IGHA2|KLRC2|NINJ1|OAS1|OAS3|SYK|TYROBP|LAT2|PLA2G6|RIPK2|CD160|DDX58|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|GPR108|DHX58|TASL|UNC93B1|RSAD2|IGLL5,-8.2,MyList
GO Biological Processes,19,GO:0002252,immune effector process,19_GO:0002376 immune system process,-12,3.7,9.1,28160,656,464,40,8.6,1.3,2|684|2207|2268|3430|3493|3494|3811|3822|4063|5729|6375|6850|7305|7462|8284|8398|8767|10875|11126|23529|23586|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|30009|56253|79132|91543|117157|257101|100423062|100528032,A2M|BST2|FCER1G|FGR|IFI35|IGHA1|IGHA2|KIR3DL1|KLRC2|LY9|PTGDR|XCL1|SYK|TYROBP|LAT2|KDM5D|PLA2G6|RIPK2|FGL2|CD160|CLCF1|DDX58|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|TBX21|CRTAM|DHX58|RSAD2|SH2D1B|ZNF683|IGLL5|KLRC4-KLRK1,-8.1,MyList
GO Biological Processes,19,GO:0002443,leukocyte mediated immunity,19_GO:0002376 immune system process,-11,4.4,9.3,28160,442,464,32,6.9,1.2,684|2207|2268|3493|3494|3811|3822|5729|6375|6850|7305|7462|8284|11126|23529|23586|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|30009|56253|91543|117157|100423062|100528032,BST2|FCER1G|FGR|IGHA1|IGHA2|KIR3DL1|KLRC2|PTGDR|XCL1|SYK|TYROBP|LAT2|KDM5D|CD160|CLCF1|DDX58|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|TBX21|CRTAM|RSAD2|SH2D1B|IGLL5|KLRC4-KLRK1,-7.8,MyList
GO Biological Processes,19,GO:0002831,regulation of response to biotic stimulus,19_GO:0050896 response to stimulus,-11,5,9.4,28160,327,464,27,5.8,1.1,2|2268|3430|3434|3600|3822|4938|4940|6352|6850|7305|8767|9636|10077|10875|11126|11274|23586|51191|56253|79132|80231|81030|117157|149628|255520|100528032,A2M|FGR|IFI35|IFIT1|IL15|KLRC2|OAS1|OAS3|CCL5|SYK|TYROBP|RIPK2|ISG15|TSPAN32|FGL2|CD160|USP18|DDX58|HERC5|CRTAM|DHX58|TASL|ZBP1|SH2D1B|PYHIN1|ELMOD2|KLRC4-KLRK1,-7.5,MyList
GO Biological Processes,19,GO:0051607,defense response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-11,5.5,9.5,28160,267,464,24,5.2,1,684|2537|2635|3433|3434|3437|3600|4599|4600|4938|4940|9636|10077|10346|10875|10964|23586|51191|64108|79132|81030|81622|91543|255520,BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IL15|MX1|MX2|OAS1|OAS3|ISG15|TSPAN32|TRIM22|FGL2|IFI44L|DDX58|HERC5|RTP4|DHX58|ZBP1|UNC93B1|RSAD2|ELMOD2,-7.2,MyList
GO Biological Processes,19,GO:0140546,defense response to symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-11,5.5,9.5,28160,267,464,24,5.2,1,684|2537|2635|3433|3434|3437|3600|4599|4600|4938|4940|9636|10077|10346|10875|10964|23586|51191|64108|79132|81030|81622|91543|255520,BST2|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IL15|MX1|MX2|OAS1|OAS3|ISG15|TSPAN32|TRIM22|FGL2|IFI44L|DDX58|HERC5|RTP4|DHX58|ZBP1|UNC93B1|RSAD2|ELMOD2,-7.2,MyList
GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-11,4.6,9,28160,369,464,28,6,1.1,684|2268|2537|2635|3433|3434|3437|3600|4599|4600|4938|4940|6352|6375|9636|10077|10346|10875|10964|23586|30009|51191|64108|79132|81030|81622|91543|255520,BST2|FGR|IFI6|GBP3|IFIT2|IFIT1|IFIT3|IL15|MX1|MX2|OAS1|OAS3|CCL5|XCL1|ISG15|TSPAN32|TRIM22|FGL2|IFI44L|DDX58|TBX21|HERC5|RTP4|DHX58|ZBP1|UNC93B1|RSAD2|ELMOD2,-7.2,MyList
GO Biological Processes,19,GO:0042742,defense response to bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-10,4.6,8.9,28160,354,464,27,5.8,1.1,944|2207|2268|3493|3494|3512|4938|4940|6850|7132|8398|8767|9636|10578|11126|28388|28392|28394|28395|28410|28412|28420|28448|28461|28473|28912|100423062,TNFSF8|FCER1G|FGR|IGHA1|IGHA2|JCHAIN|OAS1|OAS3|SYK|TNFRSF1A|PLA2G6|RIPK2|ISG15|GNLY|CD160|IGHV5-51|IGHV4-59|IGHV4-39|IGHV4-34|IGHV3-72|IGHV3-66|IGHV3-53|IGHV3-15|IGHV1-69|IGHV1-3|IGKV3-20|IGLL5,-6.9,MyList
