_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-34.95972818779569,GO:0002376,immune system process,M1,1,GO:0002250 adaptive immune response
1,-11.06716311664854,GO:0050896,response to stimulus,M1,1,GO:0002831 regulation of response to biotic stimulus
1,-10.670207343703558,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0051607 defense response to virus
1,-8.395309093530614,GO:0050789,regulation of biological process,M1,1,GO:0050865 regulation of cell activation
1,-7.96624879332363,GO:0051179,localization,M1,1,"GO:0006910 phagocytosis, recognition"
1,-7.382114342616782,GO:0048518,positive regulation of biological process,M1,1,GO:0050867 positive regulation of cell activation
1,-6.3665756922998815,GO:0009987,cellular process,M1,1,GO:0099024 plasma membrane invagination
1,-5.538758063210038,GO:0016032,viral process,M1,1,GO:0048525 negative regulation of viral process
1,-3.6307087187837466,GO:0040011,locomotion,M1,1,GO:2000501 regulation of natural killer cell chemotaxis
1,-3.5039212711482364,GO:0032501,multicellular organismal process,M1,1,GO:0032648 regulation of interferon-beta production
1,-3.0251653252093087,GO:0023052,signaling,M1,1,GO:0019221 cytokine-mediated signaling pathway
1,-2.893304827822936,GO:0048519,negative regulation of biological process,M1,1,GO:0031348 negative regulation of defense response
1,-2.59432603805805,GO:0008152,metabolic process,M1,1,GO:0006390 mitochondrial transcription
1,-2.3241730102245803,GO:0022610,biological adhesion,M1,1,GO:0046641 positive regulation of alpha-beta T cell proliferation
